Instance,Weight,Version,Path Length,Expanded,Necessary,Elapsed,Reopens,Generated
7,1,0,3996,33814032,33244277,350.121,138804,104246721
7,1,1,3996,33814032,33244277,350.691,138804,104246721
7,1,2,3996,33814032,33244277,340.816,138804,104246721
7,2,0,4828,611431,577756,4.50278,202583,1857278
7,2,1,5270,563324,879325,4.15783,69829,1720166
7,2,2,5320,364751,652272,2.97,0,1113915
7,3,0,5582,3443570,1929676,14.1352,2081342,10454936
7,3,1,5478,1002687,703014,6.16568,192894,3057226
7,3,2,5398,542620,345897,3.78545,0,1653404
7,4,0,7100,2356555,1575393,9.30185,1435284,7153259
7,4,1,6350,200552,204290,1.16844,27485,606541
7,4,2,6350,107395,134693,0.673856,0,323501
7,5,0,6892,1447413,691051,4.78678,1013979,4374883
7,5,1,6942,346133,407585,2.0005,69867,1050610
7,5,2,6942,210225,280044,1.44488,0,636884
8,1.1,0,3128,79388,72835,0.565407,4275,244451
8,1.1,1,3128,76740,72633,0.59685,1839,236420
8,1.1,2,3128,73551,71429,0.573969,0,226657
8,1.2,0,3228,50287,52775,0.419873,9004,154123
8,1.2,1,3228,46172,52203,0.395871,5396,141679
8,1.2,2,3138,39008,34248,0.359595,0,119542
8,1.3,0,3228,162134,98751,0.903283,45536,496055
8,1.3,1,3228,140574,96926,0.890195,26194,430942
8,1.3,2,3228,89658,73392,0.61086,0,274717
8,1.4,0,3590,376988,421992,3.10165,106367,1152469
8,1.4,1,3590,289864,386280,1.99131,42361,887455
8,1.4,2,3580,289416,441777,2.3715,0,887054
8,1.5,0,3778,488913,615050,3.84457,126338,1485026
8,1.5,1,3778,410567,592082,3.64475,61690,1249690
8,1.5,2,3744,346048,569234,3.44229,0,1057441
8,1.6,0,4034,566700,736238,4.63095,147294,1714735
8,1.6,1,4034,469562,697381,3.44403,72306,1423293
8,1.6,2,4034,264605,469906,2.16134,0,802903
8,1.7,0,4176,397100,531351,2.84079,100655,1199491
8,1.7,1,4176,319355,501962,2.41657,39843,966926
8,1.7,2,4176,238182,430446,1.95499,0,722215
8,1.8,0,4176,325820,422528,2.7326,89667,982952
8,1.8,1,4176,257779,397695,1.74669,35927,779756
8,1.8,2,4106,178422,317720,1.35109,0,540512
8,1.9,0,4176,198645,266625,2.18054,50420,600200
8,1.9,1,4184,152901,244129,1.09395,17570,463526
8,1.9,2,4184,110007,199562,0.835094,0,333817
8,1,0,3110,90684,88010,1.15668,463,280439
8,1,1,3110,90684,88010,1.15442,463,280439
8,1,2,3110,90684,88010,1.14587,463,280439
8,2,0,4244,92855,133092,0.921118,19470,281378
8,2,1,4244,75833,123970,0.803666,7567,230453
8,2,2,4244,54526,99297,0.623392,0,165690
8,3,0,5110,474871,446375,3.25382,220938,1433143
8,3,1,5062,426969,600171,3.05631,82144,1295094
8,3,2,5524,238975,426472,1.96736,0,726016
8,4,0,5312,1072314,691983,4.29578,606757,3236996
8,4,1,5360,700750,805545,3.7468,225282,2122499
8,4,2,5636,430243,741237,2.94574,0,1306348
8,5,0,5764,751157,488832,2.96451,427402,2263662
8,5,1,6082,202029,294257,1.28249,23342,610437
8,5,2,6256,542712,837829,3.82133,0,1644429
9,1.1,0,4137,3850545,4295501,27.9131,453477,11763620
9,1.1,1,4137,3513105,4206007,27.4959,188036,10740660
9,1.1,2,4137,3219927,4080017,25.4346,0,9846917
9,1.2,0,4327,3753476,4236919,25.6343,1021288,11458325
9,1.2,1,4327,3110328,4108682,23.7695,461634,9505769
9,1.2,2,4369,5803430,8972173,51.0444,0,17757212
9,1.3,0,4461,1235565,1307114,8.66182,438472,3783644
9,1.3,1,4461,911386,1241970,6.8149,155325,2793554
9,1.3,2,4479,1449512,2400715,12.8764,0,4451604
9,1.4,0,4573,3943,4717,0.0313945,303,11880
9,1.4,1,4573,3849,4702,0.0292423,214,11607
9,1.4,2,4573,3562,4554,0.0275639,0,10772
9,1.5,0,4573,8656,4491,0.0576897,979,26393
9,1.5,1,4573,8353,4477,0.0540842,718,25506
9,1.5,2,4829,13870,21677,0.0972868,0,42254
9,1.6,0,4837,17877,16180,0.207373,4933,54692
9,1.6,1,4837,14153,15601,0.192783,1639,43407
9,1.6,2,4527,31175,5637,0.477138,0,95692
9,1.7,0,4943,15694,18275,0.191184,2681,47916
9,1.7,1,4943,13446,17754,0.182438,832,41253
9,1.7,2,4943,11574,16434,0.161215,0,35547
9,1.8,0,4943,11649,13660,0.0904769,2104,35531
9,1.8,1,4943,9801,13247,0.0796784,694,30041
9,1.8,2,4943,8353,12248,0.0694312,0,25635
9,1.9,0,4943,9608,10993,0.123051,1478,29201
9,1.9,1,4943,8132,10442,0.0978458,428,24790
9,1.9,2,4943,7346,9945,0.0904927,0,22395
9,1,0,4095,13559983,13269325,139.479,68110,41273261
9,1,1,4095,13559983,13269325,144.147,68110,41273261
9,1,2,4095,13559983,13269325,143.578,68110,41273261
9,2,0,5093,8375,12162,0.100808,1439,25356
9,2,1,5093,7148,11827,0.096466,413,21721
9,2,2,4943,8008,9962,0.112165,0,24371
9,3,0,5189,29420,8134,0.322508,8563,89721
9,3,1,5189,21353,7725,0.27134,2111,65469
9,3,2,5221,18938,10231,0.259006,0,57937
9,4,0,5793,1019840,341706,4.20935,558143,3082820
9,4,1,5745,399836,168889,2.48024,59552,1214807
9,4,2,5745,269797,107983,1.81504,0,820219
9,5,0,6665,2246892,1399275,9.92418,1397777,6794493
9,5,1,6467,1157895,1348029,8.13785,146244,3523721
9,5,2,6467,590766,794960,4.45307,0,1796339
10,1.1,0,4466,381667,510469,4.25473,45158,1137223
10,1.1,1,4468,361671,524196,4.14552,16489,1077498
10,1.1,2,4468,322039,489077,3.76836,0,957955
10,1.2,0,4494,11147,14555,0.0616855,1548,33228
10,1.2,1,4494,9580,14070,0.0580554,306,28593
10,1.2,2,4494,9080,13786,0.054554,0,27111
10,1.3,0,4788,24023,29101,0.202037,5153,71783
10,1.3,1,4788,18792,26033,0.157829,1928,56110
10,1.3,2,4864,25987,43073,0.239113,0,77601
10,1.4,0,4850,6880,9621,0.0890849,1004,20526
10,1.4,1,4868,7882,11051,0.0979627,726,23636
10,1.4,2,4868,6309,10035,0.0852329,0,18906
10,1.5,0,4868,39209,33355,0.388551,10057,117658
10,1.5,1,4868,32071,31537,0.359752,4502,96534
10,1.5,2,5022,22929,37149,0.28424,0,69110
10,1.6,0,5036,89193,101329,0.580893,20518,265556
10,1.6,1,5042,69014,91939,0.502947,7327,205993
10,1.6,2,5042,45657,70085,0.353181,0,136384
10,1.7,0,5192,12984,16576,0.0780981,2109,38817
10,1.7,1,5192,10562,15132,0.0659366,770,31576
10,1.7,2,5192,6501,10203,0.0415412,0,19441
