,GAP,Instance,Stack,Weight,Version,Path Length,Expanded,Necessary,Elapsed,Reopens,Generated
1137,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,1.8,0,17,449,1025,0.0179139,1,5824
1138,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,1.8,1,17,449,1025,0.0175506,1,5824
1139,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,1.8,2,17,439,1023,0.0168019,0,5694
1362,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,1.6,0,17,520,1363,0.0460581,3,6747
1363,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,1.6,1,17,520,1363,0.0353835,3,6747
1364,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,1.6,2,17,515,1361,0.025072,0,6682
1530,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,1.9,0,19,306,1023,0.0163849,1,3965
1531,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,1.9,1,19,306,1023,0.0158086,1,3965
1532,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,1.9,2,19,300,1001,0.0157914,0,3887
1665,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,3,0,23,180,624,0.0168571,1,2327
1666,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,3,1,23,179,620,0.0149946,0,2314
1667,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,3,2,23,179,620,0.0137657,0,2314
1668,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,2,0,20,1397,2068,0.110066,51,18148
1669,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,2,1,20,1374,2005,0.100983,38,17849
1670,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,2,2,20,4836,6049,0.36128,0,62855
1794,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,4,0,25,94,585,0.011095,0,1209
1795,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,4,1,25,94,585,0.00992379,0,1209
1796,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,4,2,25,94,585,0.00929221,0,1209
2037,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,5,0,29,84,639,0.00442732,0,1079
2038,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,5,1,29,84,639,0.00432667,0,1079
2039,0,2,11 10 6 13 2 9 7 0 3 12 5 8 1 4 ,5,2,29,84,639,0.00432609,0,1079
114,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,1.1,0,14,45680,43817,1.96247,1572,593827
115,0,3,7 3 6 2 12 1 10 11 13 5 9 0 8 4 ,1.1,1,14,45680,43817,1.89953,1572,593827
